case,label,DSC,HD,HD95,ASSD,RVE,absRVE,n_pred,n_ref
LISA_0003,1,0.3317929759704251,4.47213595499958,3.605551275463989,1.8277761218458337,0.12573673870333987,0.12573673870333987,1146,1018
LISA_0003,2,0.299567930868939,5.385164807134504,3.605551275463989,1.9255106706947231,0.38876146788990823,0.38876146788990823,1211,872
LISA_0005,1,0.30073677160080375,6.164414002968976,4.242640687119285,1.9980351747264005,-0.4391008886565604,0.4391008886565604,1073,1913
LISA_0005,2,0.6108273748723186,5.744562646538029,3.1622776601683795,1.2839566762257288,-0.2641843971631206,0.2641843971631206,1245,1692
LISA_0007,1,0.6163522012578616,5.196152422706632,3.7076308589464535,1.1850157588419095,1.1278688524590164,1.1278688524590164,1298,610
LISA_0007,2,0.6669985067197611,5.0,3.1622776601683795,1.0497852330803183,0.9457478005865103,0.9457478005865103,1327,682
LISA_0014,1,0.7562724014336918,2.449489742783178,1.4142135623730951,0.7272371067140633,0.08598130841121496,0.08598130841121496,1162,1070
LISA_0014,2,0.68,2.8284271247461903,2.0,0.9439786580743736,0.17584369449378331,0.17584369449378331,1324,1126
LISA_0021,1,0.3081570996978852,8.306623862918075,6.880281490718907,2.6466612073660865,-0.34025787965616044,0.34025787965616044,921,1396
LISA_0021,2,0.4122950819672131,5.916079783099616,5.0,2.056718721257916,-0.3557951482479784,0.3557951482479784,956,1484
LISA_0029,1,0.587783818356252,5.0990195135927845,3.0,1.342012568279841,0.1520991052993806,0.1520991052993806,1674,1453
LISA_0029,2,0.7943078913324709,3.0,1.4142135623730951,0.6880790525090064,-0.00901481004507405,0.00901481004507405,1539,1553
LISA_0031,1,0.7112128146453089,3.1622776601683795,2.0,0.8675721175753586,0.43861607142857145,0.43861607142857145,1289,896
LISA_0031,2,0.8310749774164409,2.8284271247461903,1.4142135623730951,0.5209670986586955,0.06529850746268656,0.06529850746268656,1142,1072
LISA_0038,1,0.7639225181598063,2.449489742783178,1.7320508075688772,0.8318841088988135,-0.11845102505694761,0.11845102505694761,1548,1756
LISA_0038,2,0.8341204250295159,3.0,1.4142135623730951,0.5906674622645429,-0.16169289202387413,0.16169289202387413,1545,1843
LISA_0041,1,0.4801641586867305,5.830951894845301,4.242640687119285,1.412604846178256,-0.16791979949874686,0.16791979949874686,664,798
LISA_0041,2,0.6349047141424273,5.830951894845301,3.7416573867739413,1.1530748490248597,-0.4373040752351097,0.4373040752351097,718,1276
LISA_0043,1,0.7434603028912345,4.123105625617661,2.23606797749979,0.8446031808335238,-0.0852372583479789,0.0852372583479789,1041,1138
LISA_0043,2,0.6874762086029692,5.385164807134504,3.4641016151377544,1.0432151145411477,-0.2533244680851064,0.2533244680851064,1123,1504
LISA_0045,1,0.789732953072336,2.23606797749979,1.4142135623730951,0.7562735827360122,0.13211719181868437,0.13211719181868437,2048,1809
LISA_0045,2,0.816220880069025,3.7416573867739413,1.758845726811965,0.649223559627762,-0.014277555682467162,0.014277555682467162,1726,1751
LISA_0052,1,0.655724579663731,3.3166247903554,2.23606797749979,0.9845513389516066,0.06617038875103391,0.06617038875103391,1289,1209
LISA_0052,2,0.7539308176100629,4.0,2.0,0.773390145494355,0.10596026490066225,0.10596026490066225,1336,1208
LISA_0054,1,0.8542713567839196,1.4142135623730951,1.0,0.4640657983050895,0.01937269372693727,0.01937269372693727,1105,1084
LISA_0054,2,0.8246356370474848,2.23606797749979,1.4142135623730951,0.5328415111400042,-0.0009398496240601503,0.0009398496240601503,1063,1064
LISA_0063,1,0.7766450417052827,3.1622776601683795,1.7320508075688772,0.7307546632018718,-0.13858539390454283,0.13858539390454283,1498,1739
LISA_0063,2,0.698090692124105,3.7416573867739413,2.23606797749979,1.0005284664581493,-0.16529830322933772,0.16529830322933772,1525,1827
LISA_1009,1,0.8020942408376963,2.23606797749979,1.4142135623730951,0.5798961515794964,0.16063348416289594,0.16063348416289594,1026,884
LISA_1009,2,0.8043087971274686,2.23606797749979,1.4142135623730951,0.5395196392515493,0.08094645080946451,0.08094645080946451,868,803
LISA_1010,1,0.6760909649661955,2.449489742783178,1.7320508075688772,0.8556281630839428,-0.035024154589371984,0.035024154589371984,799,828
LISA_1010,2,0.5599006828057107,3.1622776601683795,2.449489742783178,1.112922492849678,0.0548469387755102,0.0548469387755102,827,784
