case,label,DSC,HD,HD95,ASSD,RVE,absRVE,n_pred,n_ref
LISA_0003,1,0.39118198874296434,4.47213595499958,3.3166247903554,1.7091871459869763,0.09430255402750491,0.09430255402750491,1114,1018
LISA_0003,2,0.400382226469183,4.123105625617661,3.1622776601683795,1.6038797258136814,0.40022935779816515,0.40022935779816515,1221,872
LISA_0005,1,0.28217821782178215,6.164414002968976,4.242640687119285,2.042609501218405,-0.5216936748562467,0.5216936748562467,915,1913
LISA_0005,2,0.5981112277019937,5.744562646538029,3.4641016151377544,1.3132148928623386,-0.3102836879432624,0.3102836879432624,1167,1692
LISA_0007,1,0.6870789957134109,4.242640687119285,2.449489742783178,0.8801315989897615,0.6770491803278689,0.6770491803278689,1023,610
LISA_0007,2,0.7455688965122927,4.47213595499958,2.8284271247461903,0.7654959380781824,0.5645161290322581,0.5645161290322581,1067,682
LISA_0014,1,0.7508001828989483,3.0,1.4142135623730951,0.7535177413142354,0.04392523364485981,0.04392523364485981,1117,1070
LISA_0014,2,0.7091531223267751,2.23606797749979,1.7320508075688772,0.8468949823134134,0.0763765541740675,0.0763765541740675,1212,1126
LISA_0021,1,0.30755064456721914,8.831760866327848,7.0710678118654755,2.5617996019565017,-0.44412607449856734,0.44412607449856734,776,1396
LISA_0021,2,0.31722880583409296,6.0,5.0990195135927845,2.353604892508037,-0.5215633423180593,0.5215633423180593,710,1484
LISA_0029,1,0.5982384823848238,4.123105625617661,3.0,1.2855702497292003,0.031658637302133516,0.031658637302133516,1499,1453
LISA_0029,2,0.7980997624703088,3.0,1.4142135623730951,0.6626339965192569,-0.10238248551191242,0.10238248551191242,1394,1553
LISA_0031,1,0.7706422018348624,2.449489742783178,1.4142135623730951,0.693089238688977,0.31138392857142855,0.31138392857142855,1175,896
LISA_0031,2,0.8473040326234708,2.449489742783178,1.4142135623730951,0.47571673237474726,0.058768656716417914,0.058768656716417914,1135,1072
LISA_0038,1,0.7713567839195979,2.449489742783178,1.4142135623730951,0.8113208187098564,-0.1867881548974943,0.1867881548974943,1428,1756
LISA_0038,2,0.8214605067064084,3.1622776601683795,1.7320508075688772,0.6450562839474918,-0.17959848073792728,0.17959848073792728,1512,1843
LISA_0041,1,0.4838255977496484,5.656854249492381,4.242640687119285,1.3974669178671282,-0.21804511278195488,0.21804511278195488,624,798
LISA_0041,2,0.5945945945945946,6.4031242374328485,4.123105625617661,1.312593948331004,-0.46316614420062696,0.46316614420062696,685,1276
LISA_0043,1,0.7508274231678487,4.358898943540674,2.449489742783178,0.8078985374944694,-0.14147627416520211,0.14147627416520211,977,1138
LISA_0043,2,0.7019344650611923,6.557438524302,3.7416573867739413,1.0604812147835965,-0.3158244680851064,0.3158244680851064,1029,1504
LISA_0045,1,0.8238497141301389,2.23606797749979,1.4142135623730951,0.6240900602147865,0.030403537866224434,0.030403537866224434,1864,1809
LISA_0045,2,0.7722536469187258,5.0990195135927845,2.23606797749979,0.8217563458194665,-0.08166761850371217,0.08166761850371217,1608,1751
LISA_0052,1,0.6567404426559356,4.123105625617661,2.23606797749979,0.9929574317408806,0.055417700578990904,0.055417700578990904,1276,1209
LISA_0052,2,0.7910271546635183,3.1622776601683795,2.0,0.6549632191136963,0.10347682119205298,0.10347682119205298,1333,1208
LISA_0054,1,0.8665413533834586,1.7320508075688772,1.0,0.4098839924887131,-0.03690036900369004,0.03690036900369004,1044,1084
LISA_0054,2,0.8120300751879699,2.23606797749979,1.4142135623730951,0.5466577454741653,0.0,0.0,1064,1064
LISA_0063,1,0.7155844155844155,3.3166247903554,2.23606797749979,0.9316706629586231,-0.2288671650373778,0.2288671650373778,1341,1739
LISA_0063,2,0.7152480097979179,3.605551275463989,2.23606797749979,0.9558481402018015,-0.21237000547345375,0.21237000547345375,1439,1827
LISA_1009,1,0.8153424657534246,2.23606797749979,1.4142135623730951,0.5158035986063397,0.06447963800904978,0.06447963800904978,941,884
LISA_1009,2,0.7711864406779662,2.23606797749979,1.4142135623730951,0.6472803401871376,0.057285180572851806,0.057285180572851806,849,803
LISA_1010,1,0.6317804722399489,2.23606797749979,1.7320508075688772,0.9163534363794665,-0.10748792270531402,0.10748792270531402,739,828
LISA_1010,2,0.595797280593325,3.605551275463989,2.23606797749979,1.0336531110373972,0.06377551020408163,0.06377551020408163,834,784
